Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,59.97,33.49,0.57,5.86,0.1,93.46,41.94,1759.1,31.09,0.22
TBR_2,0.53,0.0,0.0,97.84,1.63,0.53,52.82,2790.06,47.52,0.99
TBR_1,1.02,0.0,0.0,96.64,2.34,1.02,49.24,2424.1,42.47,0.69
TIR,58.51,40.64,0.85,0.0,0.0,99.15,34.37,1181.17,25.89,0.22
TAR_1,73.96,24.24,0.21,1.59,0.0,98.2,41.82,1749.21,30.87,0.15
TAR_2,63.3,28.86,0.09,7.75,0.0,92.16,67.27,4525.13,53.88,0.18
