epoch,Clinical_Penalty,loss,root_mean_squared_error,val_Clinical_Penalty,val_loss,val_root_mean_squared_error
0,1.2969990968704224,2.0049784183502197,81.56133270263672,1.2393850088119507,1.5105156898498535,43.11082458496094
1,1.2124643325805664,1.478521466255188,41.94422912597656,1.2283046245574951,1.4948018789291382,40.788997650146484
2,1.198332667350769,1.4642075300216675,39.8132209777832,1.224782109260559,1.4984242916107178,41.0297966003418
3,1.1951918601989746,1.460893154144287,39.39468765258789,1.2279516458511353,1.4940046072006226,40.87942123413086
4,1.194490671157837,1.4595236778259277,39.26667022705078,1.2331677675247192,1.4913880825042725,40.57224655151367
5,1.1943129301071167,1.458869457244873,39.2181510925293,1.2261053323745728,1.4923992156982422,40.943809509277344
6,1.194207787513733,1.4583958387374878,39.185855865478516,1.2276273965835571,1.4903385639190674,40.76068878173828
7,1.1941618919372559,1.4580802917480469,39.16432571411133,1.232276201248169,1.4971853494644165,41.03825759887695
8,1.194158673286438,1.4577888250350952,39.14685821533203,1.2277112007141113,1.4885997772216797,40.55495071411133
9,1.1940754652023315,1.4574894905090332,39.12466812133789,1.2245872020721436,1.4877859354019165,40.536277770996094
10,1.1940388679504395,1.4573397636413574,39.11679458618164,1.2251256704330444,1.4781349897384644,39.854522705078125
11,1.1940546035766602,1.4572285413742065,39.10709762573242,1.2285959720611572,1.491695523262024,40.793540954589844
12,1.1940317153930664,1.4571040868759155,39.098812103271484,1.2278680801391602,1.4893876314163208,40.58352279663086
13,1.1939828395843506,1.4568761587142944,39.088199615478516,1.2254796028137207,1.4841450452804565,40.26980972290039
14,1.19392728805542,1.4567619562149048,39.08019256591797,1.229370355606079,1.491036295890808,40.726806640625
15,1.193886160850525,1.4566296339035034,39.073917388916016,1.2269301414489746,1.490692377090454,40.68351364135742
16,1.193852186203003,1.4566339254379272,39.07571029663086,1.2276074886322021,1.487351894378662,40.47478485107422
17,1.1938201189041138,1.4564428329467773,39.05965042114258,1.2283495664596558,1.4919100999832153,40.865272521972656
18,1.1938083171844482,1.4563015699386597,39.04862594604492,1.2282869815826416,1.4828137159347534,40.1354866027832
19,1.1938334703445435,1.456349492073059,39.050025939941406,1.2277061939239502,1.4948595762252808,41.10552215576172
20,1.1938687562942505,1.4562666416168213,39.04878616333008,1.2330611944198608,1.4993481636047363,41.06426239013672
