Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,68.02,26.92,0.15,4.87,0.04,94.94,38.05,1447.49,27.44,0.18
TBR_2,20.48,0.0,0.0,79.08,0.43,20.48,36.26,1314.81,32.0,0.67
TBR_1,19.18,0.0,0.0,80.16,0.66,19.18,32.98,1087.55,26.65,0.43
TIR,71.22,28.55,0.23,0.0,0.0,99.77,27.63,763.43,19.96,0.16
TAR_1,74.03,24.38,0.05,1.51,0.04,98.41,41.77,1744.63,31.84,0.15
TAR_2,58.93,34.84,0.02,6.21,0.0,93.77,67.65,4576.74,57.76,0.19
