epoch,Clinical_Penalty,loss,root_mean_squared_error,val_Clinical_Penalty,val_loss,val_root_mean_squared_error
0,1.1943199634552002,1.5043411254882812,49.17921447753906,1.199656367301941,1.4379708766937256,44.48636245727539
1,1.1898282766342163,1.4269883632659912,42.50547409057617,1.1988552808761597,1.405182123184204,42.094913482666016
2,1.192421793937683,1.4042680263519287,40.820194244384766,1.2001720666885376,1.3908041715621948,41.015438079833984
3,1.1955703496932983,1.3944131135940552,40.066593170166016,1.2018791437149048,1.3843570947647095,40.481040954589844
4,1.1981816291809082,1.3896058797836304,39.682212829589844,1.2045345306396484,1.3811845779418945,40.28770065307617
5,1.2000812292099,1.3867884874343872,39.45547866821289,1.2089335918426514,1.3793158531188965,40.163734436035156
6,1.201322317123413,1.384883999824524,39.30112838745117,1.2068226337432861,1.3772945404052734,39.94738006591797
7,1.2020479440689087,1.3835384845733643,39.199302673339844,1.2080190181732178,1.3762329816818237,39.887271881103516
8,1.202457070350647,1.382515788078308,39.121665954589844,1.213634967803955,1.376652717590332,40.06726837158203
9,1.202744722366333,1.3816875219345093,39.065773010253906,1.2067749500274658,1.3743343353271484,39.653411865234375
10,1.2028889656066895,1.381030559539795,39.01689910888672,1.2127741575241089,1.3750100135803223,39.92512512207031
11,1.2029792070388794,1.3804830312728882,38.980712890625,1.2121853828430176,1.3742549419403076,39.8378791809082
12,1.202925682067871,1.3800389766693115,38.945106506347656,1.2108736038208008,1.3738508224487305,39.835208892822266
13,1.202845573425293,1.379628300666809,38.919227600097656,1.2091608047485352,1.372901201248169,39.667911529541016
14,1.2027732133865356,1.3793058395385742,38.897830963134766,1.2106010913848877,1.3728622198104858,39.70097351074219
15,1.2027511596679688,1.379008173942566,38.875099182128906,1.2104207277297974,1.3728179931640625,39.74760818481445
16,1.2026033401489258,1.3787343502044678,38.86017608642578,1.211411952972412,1.3727805614471436,39.76163864135742
17,1.2025443315505981,1.3785254955291748,38.84611511230469,1.211285948753357,1.3723831176757812,39.69987869262695
18,1.2024726867675781,1.3783153295516968,38.83200454711914,1.210005760192871,1.372106671333313,39.68472671508789
19,1.2023524045944214,1.378143072128296,38.8249626159668,1.2129145860671997,1.3725671768188477,39.771644592285156
