epoch,Clinical_Penalty,loss,root_mean_squared_error,val_Clinical_Penalty,val_loss,val_root_mean_squared_error
0,1.3183759450912476,26574.53125,86.51249694824219,1.2842150926589966,3125.614501953125,40.59891891479492
1,1.2376916408538818,2024.0865478515625,32.96294403076172,1.250605583190918,1184.7010498046875,27.033571243286133
2,1.1859830617904663,963.3480224609375,23.657306671142578,1.2443512678146362,954.0337524414062,24.893505096435547
3,1.17598295211792,786.5020751953125,21.681482315063477,1.2489960193634033,966.4926147460938,25.139768600463867
4,1.174060344696045,764.4727783203125,21.362232208251953,1.24489164352417,1014.3285522460938,25.67330551147461
5,1.1733486652374268,758.4005126953125,21.273298263549805,1.2501184940338135,965.7183837890625,25.111621856689453
6,1.1732735633850098,755.6559448242188,21.236103057861328,1.2487949132919312,991.5890502929688,25.451566696166992
7,1.1731220483779907,754.1259765625,21.21922492980957,1.2466288805007935,923.9197998046875,24.581336975097656
8,1.1732006072998047,752.2968139648438,21.197267532348633,1.2477926015853882,990.4564819335938,25.419086456298828
9,1.1731230020523071,750.6947021484375,21.184837341308594,1.2507432699203491,981.8623046875,25.329967498779297
10,1.1730988025665283,750.62451171875,21.178081512451172,1.2488470077514648,978.1154174804688,25.294921875
11,1.173002004623413,749.8944702148438,21.16657066345215,1.2462491989135742,991.3836059570312,25.42988395690918
12,1.172912359237671,749.364990234375,21.16180992126465,1.2466413974761963,953.6010131835938,24.98826026916504
13,1.172834038734436,749.3775634765625,21.15576171875,1.2457000017166138,941.9712524414062,24.815155029296875
14,1.172898769378662,748.3667602539062,21.1481876373291,1.2471041679382324,928.3309326171875,24.630714416503906
15,1.1728423833847046,748.263671875,21.144859313964844,1.2513165473937988,940.6945190429688,24.804702758789062
16,1.1727826595306396,747.5260009765625,21.140756607055664,1.2522965669631958,1013.116943359375,25.6496524810791
17,1.1728981733322144,747.3562622070312,21.137603759765625,1.249851107597351,983.6527709960938,25.344762802124023
