Range,A,B,C,D,E
ENTIRE,17567452,2153152,4078,125731,827
TBR_2,178768,0,0,6620,31
TBR_1,650897,0,0,106113,98
TIR,10201837,1737299,3126,0,0
TAR_1,4345847,339741,751,7508,661
TAR_2,2190103,76112,201,5490,37
