Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,86.64,12.36,0.0,1.0,0.0,99.0,25.09,629.66,18.93,0.12
TBR_2,91.2,0.0,0.0,8.78,0.01,91.2,14.18,201.04,11.58,0.25
TBR_1,80.01,0.0,0.0,19.98,0.0,80.01,12.39,153.5,8.79,0.14
TIR,86.13,13.86,0.0,0.0,0.0,99.99,18.78,352.63,14.07,0.11
TAR_1,87.88,11.76,0.0,0.36,0.01,99.64,29.16,850.36,24.19,0.11
TAR_2,88.59,10.8,0.0,0.6,0.0,99.39,42.7,1823.45,37.59,0.12
