Range,A,B,C,D,E
ENTIRE,13455827,5329998,123972,468241,43368
TBR_2,148880,0,0,32550,1260
TBR_1,463107,0,0,269424,7931
TIR,7732153,3859954,103668,0,0
TAR_1,3387175,1095352,17004,56130,32851
TAR_2,1724512,374692,3300,110137,1326
