Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,65.73,31.73,0.21,2.0,0.33,97.46,41.34,1708.83,30.14,0.19
TBR_2,87.88,0.0,0.0,11.64,0.48,87.88,25.96,673.88,19.42,0.41
TBR_1,79.01,0.0,0.0,20.26,0.72,79.01,24.53,601.57,12.98,0.21
TIR,64.11,35.57,0.32,0.0,0.0,99.68,32.25,1039.95,23.88,0.19
TAR_1,70.71,26.46,0.04,1.58,1.2,97.17,46.2,2134.0,35.14,0.17
TAR_2,57.65,35.65,0.02,6.57,0.11,93.3,69.4,4816.93,59.47,0.2
