Range,A,B,C,D,E
ENTIRE,13210864,5228630,29637,944894,7381
TBR_2,37423,0,0,144478,789
TBR_1,142051,0,0,593542,4869
TIR,8330015,3338638,27122,0,0
TAR_1,3396662,1118722,2066,69408,1654
TAR_2,1304713,771270,449,137466,69
