epoch,Clinical_Penalty,loss,root_mean_squared_error,val_Clinical_Penalty,val_loss,val_root_mean_squared_error
0,1.2523196935653687,5418.07958984375,46.96894454956055,1.2603628635406494,4553.9013671875,44.462223052978516
1,1.2550363540649414,4256.09375,42.950382232666016,1.2577742338180542,4449.3310546875,43.953025817871094
2,1.2533401250839233,4202.3134765625,42.695377349853516,1.247348427772522,4433.197265625,43.852352142333984
3,1.2522212266921997,4163.86572265625,42.50492858886719,1.275514006614685,4467.4228515625,44.02464294433594
4,1.2513790130615234,4137.73193359375,42.38048553466797,1.2584643363952637,4361.50341796875,43.62669372558594
5,1.2510159015655518,4118.27490234375,42.295345306396484,1.2888271808624268,4535.90185546875,44.404075622558594
6,1.2507503032684326,4101.365234375,42.23161315917969,1.2623211145401,4328.7255859375,43.453895568847656
7,1.2504621744155884,4088.85400390625,42.18143081665039,1.2639981508255005,4327.80859375,43.53040313720703
8,1.2503026723861694,4076.733154296875,42.13521957397461,1.2588897943496704,4323.56298828125,43.382747650146484
9,1.250184178352356,4067.182373046875,42.09923553466797,1.2562432289123535,4300.22216796875,43.28860855102539
10,1.2500187158584595,4060.7392578125,42.07465362548828,1.2545362710952759,4299.0068359375,43.35007095336914
11,1.249930500984192,4053.63525390625,42.048648834228516,1.258725643157959,4283.72314453125,43.28761291503906
12,1.2498501539230347,4049.012939453125,42.03214645385742,1.2768516540527344,4356.9580078125,43.631256103515625
13,1.2497268915176392,4042.88037109375,42.008628845214844,1.2612855434417725,4294.80224609375,43.265174865722656
14,1.2496974468231201,4037.50390625,41.98801040649414,1.2796508073806763,4377.66015625,43.72349548339844
15,1.249576449394226,4033.408447265625,41.970947265625,1.2594165802001953,4269.27099609375,43.16733932495117
16,1.2494680881500244,4028.563720703125,41.95488739013672,1.274403691291809,4310.49658203125,43.4648551940918
17,1.2493869066238403,4024.28125,41.939247131347656,1.2521849870681763,4279.4248046875,43.159156799316406
18,1.2493520975112915,4018.68115234375,41.91792297363281,1.2280689477920532,4363.5234375,43.610416412353516
19,1.2492729425430298,4015.59716796875,41.908321380615234,1.2640200853347778,4275.78173828125,43.20683288574219
20,1.2492005825042725,4010.0087890625,41.887386322021484,1.2587218284606934,4237.41015625,43.12405776977539
21,1.2492209672927856,4007.145263671875,41.87831115722656,1.2504364252090454,4258.205078125,43.146671295166016
22,1.2491570711135864,4005.16455078125,41.87297058105469,1.2593445777893066,4252.67236328125,43.11829376220703
23,1.2491744756698608,4001.248046875,41.85794448852539,1.262230634689331,4250.1474609375,43.16078186035156
24,1.24919855594635,3999.867431640625,41.85490417480469,1.2686598300933838,4285.736328125,43.29806900024414
25,1.2491941452026367,3997.375,41.845340728759766,1.2727130651474,4289.0078125,43.35387420654297
26,1.2492927312850952,3995.65087890625,41.84016418457031,1.261356234550476,4271.23046875,43.22700881958008
27,1.249297857284546,3993.256103515625,41.832122802734375,1.2741702795028687,4288.20751953125,43.351966857910156
28,1.249370813369751,3993.282958984375,41.83553695678711,1.2818816900253296,4367.4482421875,43.72235107421875
29,1.2494709491729736,3990.422607421875,41.82516098022461,1.2618263959884644,4279.86376953125,43.26430130004883
30,1.2494746446609497,3987.987060546875,41.81557083129883,1.2604924440383911,4225.69482421875,43.06193161010742
31,1.2495611906051636,3987.820068359375,41.81663513183594,1.2637827396392822,4253.34716796875,43.361663818359375
32,1.2496140003204346,3986.7392578125,41.815467834472656,1.258610725402832,4229.328125,43.170372009277344
33,1.249671459197998,3984.7705078125,41.80746841430664,1.2672576904296875,4313.52099609375,43.386390686035156
34,1.2497248649597168,3984.27685546875,41.80704116821289,1.2584950923919678,4214.84033203125,43.04051971435547
35,1.2497600317001343,3983.65576171875,41.806880950927734,1.2754526138305664,4282.04541015625,43.46084976196289
36,1.2498070001602173,3983.28857421875,41.80638885498047,1.271989107131958,4294.765625,43.377899169921875
37,1.249866008758545,3980.849609375,41.797393798828125,1.2704694271087646,4277.61328125,43.294212341308594
38,1.2499064207077026,3980.760986328125,41.799747467041016,1.2590837478637695,4255.6123046875,43.106964111328125
39,1.2499275207519531,3980.07861328125,41.79655838012695,1.2471038103103638,4252.931640625,43.20376968383789
40,1.2499927282333374,3979.000244140625,41.793514251708984,1.2521706819534302,4209.669921875,43.01188659667969
41,1.2500026226043701,3977.216796875,41.786041259765625,1.273534893989563,4264.00537109375,43.32760238647461
42,1.2500255107879639,3975.518310546875,41.77947998046875,1.2723912000656128,4259.36376953125,43.270050048828125
43,1.2500441074371338,3976.411865234375,41.78501510620117,1.2572616338729858,4244.25830078125,43.11153030395508
44,1.2501130104064941,3975.174560546875,41.780948638916016,1.2667328119277954,4221.54541015625,43.077919006347656
45,1.2501024007797241,3975.3671875,41.78311538696289,1.2614939212799072,4228.70654296875,43.22792053222656
46,1.2501568794250488,3973.525146484375,41.77457809448242,1.2738624811172485,4251.45361328125,43.32111740112305
47,1.2501634359359741,3973.51123046875,41.77540969848633,1.268804907798767,4226.66357421875,43.16159439086914
48,1.2501991987228394,3973.083984375,41.77388381958008,1.2674705982208252,4295.42529296875,43.352115631103516
49,1.2501912117004395,3971.854248046875,41.76807403564453,1.2675036191940308,4225.65673828125,43.11272048950195
50,1.2501780986785889,3971.3974609375,41.76668167114258,1.2458184957504272,4223.10888671875,43.11313247680664
