Range,A,B,C,D,E
ENTIRE,11646836,6504033,111301,1138848,20388
TBR_2,963,0,0,178750,2977
TBR_1,7551,0,0,715591,17320
TIR,6843209,4752818,99748,0,0
TAR_1,3393595,1112172,9653,73012,80
TAR_2,1401518,639043,1900,171495,11
