Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
Linear,2,ENTIRE,RMSE,88.05,10.8,0.02,1.13,0,98.85,20.08,403.11,14.31,0.1
Linear,2,TBR_2,RMSE,93.7,0,0,6.28,0.02,93.7,13.68,187.18,10.5,0.22
Linear,2,TBR_1,RMSE,73.14,0,0,26.85,0.02,73.14,15.66,245.39,11.49,0.19
Linear,2,TIR,RMSE,85.01,14.96,0.03,0,0,99.97,18.6,346.02,13.15,0.11
Linear,2,TAR_1,RMSE,93.56,6.3,0.02,0.11,0.01,99.86,21.56,464.69,15.42,0.07
Linear,2,TAR_2,RMSE,97.16,2.67,0.01,0.16,0,99.83,25.42,646.18,19.38,0.06
Linear,4,ENTIRE,RMSE,66.2,28.62,0.44,4.66,0.09,94.82,36.74,1349.76,26.96,0.19
Linear,4,TBR_2,RMSE,29.09,0,0,70.16,0.75,29.09,37.37,1396.22,30.83,0.64
Linear,4,TBR_1,RMSE,14.15,0,0,84.68,1.17,14.15,38.92,1514.51,31.33,0.51
Linear,4,TIR,RMSE,63.57,35.78,0.64,0,0,99.35,31.59,997.79,23.26,0.2
Linear,4,TAR_1,RMSE,78.03,20.52,0.19,1.11,0.14,98.55,38.1,1451.84,27.86,0.13
Linear,4,TAR_2,RMSE,76.03,19.47,0.06,4.43,0.01,95.5,54.21,2938.61,42.84,0.14
