Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
CNN,4,TIR,cSigp06MSE,-2.27,2.29,-0.02,0,0,0.02,1.43,96.72,1.44,0.01
CNN,4,TAR_1,cSigp06MSE,4.01,-3.66,-0.07,-0.28,0,0.35,-1.88,-159.44,-2.24,-0.02
CNN,4,TAR_2,cSigp06MSE,-1.95,3.59,-0.03,-1.62,0,1.64,0.78,104.69,1.58,0.01
LSTM,2,ENTIRE,cSigp06MSE,0.05,0.21,0,-0.27,0,0.26,0.22,11.27,0.07,0
LSTM,2,TBR_2,cSigp06MSE,3.42,0,0,-3.42,0,3.42,0.53,15.31,1.7,0.04
LSTM,2,TBR_1,cSigp06MSE,5.88,0,0,-5.88,-0.01,5.88,-1.27,-31.74,-1.05,-0.02
LSTM,2,TIR,cSigp06MSE,-0.29,0.29,0,0,0,0,0.09,3.28,-0.03,0
LSTM,2,TAR_1,cSigp06MSE,0.47,-0.46,0,-0.02,0.01,0.01,-0.25,-14.69,-0.23,-0.01
LSTM,2,TAR_2,cSigp06MSE,-1.22,1.25,0,-0.05,0,0.03,1.43,120.97,1.49,0.01
LSTM,4,ENTIRE,cSigp06MSE,0.8,-0.07,-0.02,-0.72,0.01,0.73,0.14,10.44,-0.14,0
LSTM,4,TBR_2,cSigp06MSE,7.99,0,0,-8.07,0.07,7.99,-3.65,-278.09,-4.08,-0.08
LSTM,4,TBR_1,cSigp06MSE,11.04,0,0,-11.16,0.13,11.04,-3.17,-219.44,-4.54,-0.08
LSTM,4,TIR,cSigp06MSE,-0.34,0.35,-0.02,0,0,0.01,0.85,46.36,0.46,0
LSTM,4,TAR_1,cSigp06MSE,3.65,-3.35,-0.02,-0.3,0.02,0.3,-1.43,-121.46,-1.97,-0.01
LSTM,4,TAR_2,cSigp06MSE,-3.16,4.55,-0.01,-1.38,0,1.39,1.45,194.82,2.32,0.01
Linear,2,ENTIRE,cSigp06MSE,0.02,-0.1,0,0.09,0,-0.08,0.03,1.29,0.07,0
Linear,2,TBR_2,cSigp06MSE,-0.56,0,0,0.56,0,-0.56,0.42,11.7,0.58,0.01
Linear,2,TBR_1,cSigp06MSE,-2.1,0,0,2.1,-0.01,-2.1,0.27,8.4,0.4,0
Linear,2,TIR,cSigp06MSE,0.18,-0.17,-0.01,0,0,0.01,-0.19,-7.14,-0.11,0
Linear,2,TAR_1,cSigp06MSE,0.05,-0.05,0,0.01,0,0,0,0.04,0.06,0
Linear,2,TAR_2,cSigp06MSE,-0.15,0.14,0,0.01,0,-0.01,0.87,44.89,0.89,0.01
Linear,4,ENTIRE,cSigp06MSE,-0.37,0.26,-0.03,0.14,-0.01,-0.11,0.02,1.57,0.13,0
Linear,4,TBR_2,cSigp06MSE,-4.02,0,0,4.04,-0.01,-4.02,0.95,72.49,1.35,0.03
Linear,4,TBR_1,cSigp06MSE,-2.44,0,0,2.45,-0.02,-2.44,0.71,56.21,1.09,0.02
Linear,4,TIR,cSigp06MSE,-0.3,0.34,-0.03,0,0,0.04,-0.18,-10.92,-0.01,0
Linear,4,TAR_1,cSigp06MSE,0.2,-0.16,-0.02,0.01,-0.02,0.04,-0.28,-21.49,-0.13,0
Linear,4,TAR_2,cSigp06MSE,-0.9,0.86,-0.01,0.05,0,-0.04,0.83,91.27,0.99,0
CNN,2,ENTIRE,cSigp01,0.83,1.85,0.05,-2.78,0.07,2.68,1.69,99.42,0.63,-0.01
CNN,2,TBR_2,cSigp01,54.35,0,0,-54.38,0.03,54.35,-14.67,-708.53,-18.56,-0.39
CNN,2,TBR_1,cSigp01,58.53,0,0,-58.6,0.06,58.53,-9.06,-449.48,-12.36,-0.2
CNN,2,TIR,cSigp01,-3.42,3.33,0.09,0,0,-0.09,3.33,173.47,1.94,0.01
CNN,2,TAR_1,cSigp01,0.34,-0.51,-0.02,-0.06,0.26,-0.17,0.86,54.45,0,0
CNN,2,TAR_2,cSigp01,0.53,-0.31,-0.01,-0.21,0.01,0.22,0.65,51.95,0.95,0
CNN,4,ENTIRE,cSigp01,2.09,0.61,0.2,-3.28,0.37,2.7,2.46,210.81,0.76,-0.01
CNN,4,TBR_2,cSigp01,70.63,0,0,-71.27,0.64,70.63,-18.05,-1668.54,-28.77,-0.6
CNN,4,TBR_1,cSigp01,57.35,0,0,-58.3,0.95,57.35,-11.67,-1044.45,-21.79,-0.36
CNN,4,TIR,cSigp01,-2.72,2.37,0.34,0,0,-0.35,5.07,361.72,3.28,0.02
CNN,4,TAR_1,cSigp01,2.74,-3.52,-0.04,-0.44,1.27,-0.78,2.82,253.66,-0.03,0
CNN,4,TAR_2,cSigp01,2.05,0.13,-0.02,-2.4,0.23,2.18,-0.75,-100.23,-0.93,0
LSTM,2,ENTIRE,cSigp01,-4.76,5.49,0.01,-0.76,0.01,0.73,2.72,142.83,2.65,0.03
LSTM,2,TBR_2,cSigp01,8.75,0,0,-8.76,0,8.75,-3.67,-90,-2.46,-0.06
LSTM,2,TBR_1,cSigp01,17.5,0,0,-17.5,0,17.5,0.23,6.04,1.72,0.03
LSTM,2,TIR,cSigp01,-8.53,8.52,0.01,0,0,-0.01,3.76,153.51,3.41,0.03
LSTM,2,TAR_1,cSigp01,-0.24,0.22,0,-0.01,0.03,-0.02,0.42,24.46,0.31,0
LSTM,2,TAR_2,cSigp01,-2.73,2.75,0,-0.03,0,0.02,4.5,395.97,4.25,0.01
LSTM,4,ENTIRE,cSigp01,-1.92,5.09,0.11,-3.56,0.29,3.17,3.37,266.66,2.49,0.01
LSTM,4,TBR_2,cSigp01,74.83,0,0,-74.93,0.1,74.83,-17,-1067.92,-23.84,-0.5
LSTM,4,TBR_1,cSigp01,69.71,0,0,-69.88,0.19,69.71,-11.13,-680.9,-16.69,-0.28
LSTM,4,TIR,cSigp01,-9.15,8.94,0.2,0,0,-0.21,6.46,387.86,5.09,0.04
LSTM,4,TAR_1,cSigp01,1.09,-1.95,-0.02,-0.26,1.13,-0.86,2.61,232.81,0.58,0
LSTM,4,TAR_2,cSigp01,-0.38,1.49,-0.01,-1.21,0.1,1.11,0.92,123.65,1.3,0.01
Linear,2,ENTIRE,cSigp01,-0.16,0.78,0.01,-0.64,0,0.62,0.73,29.76,0.13,0
Linear,2,TBR_2,cSigp01,3.48,0,0,-3.48,0,3.48,-2.36,-59.15,-3.92,-0.08
Linear,2,TBR_1,cSigp01,16.01,0,0,-16.01,0,16.01,-2.22,-64.62,-2.84,-0.05
Linear,2,TIR,cSigp01,-0.86,0.86,0.01,0,0,0,0.97,36.78,0.25,0
Linear,2,TAR_1,cSigp01,-1.09,1.06,0.01,0.02,0.01,-0.03,1.33,59.08,0.93,0.01
Linear,2,TAR_2,cSigp01,-0.22,0.18,0.01,0.03,0,-0.04,-0.58,-29.03,-0.83,0
Linear,4,ENTIRE,cSigp01,2.89,-0.96,0.27,-2.35,0.14,1.93,1.85,139.31,0.12,-0.01
Linear,4,TBR_2,cSigp01,53.04,0,0,-53.01,-0.03,53.04,-9.63,-626.69,-15.29,-0.32
Linear,4,TBR_1,cSigp01,49.66,0,0,-49.61,-0.05,49.66,-7.85,-549.2,-12.07,-0.2
Linear,4,TIR,cSigp01,1.87,-2.19,0.33,0,0,-0.32,2.54,166.96,0.63,-0.01
Linear,4,TAR_1,cSigp01,-4.13,3.23,0.26,0.05,0.6,-0.9,5.21,423.88,3.51,0.02
Linear,4,TAR_2,cSigp01,3.04,-3.49,0.14,0.26,0.05,-0.45,-2.87,-303.06,-4.18,-0.01
CNN,2,ENTIRE,cSigp06,1.55,1.01,0.01,-2.62,0.06,2.56,1.59,93.39,0.6,-0.01
CNN,2,TBR_2,cSigp06,53.04,0,0,-53.06,0.02,53.04,-11.28,-582.94,-12.84,-0.26
CNN,2,TBR_1,cSigp06,55.41,0,0,-55.46,0.04,55.41,-8.77,-437.67,-12.28,-0.2
CNN,2,TIR,cSigp06,-1.51,1.49,0.03,0,0,-0.02,2.2,111.98,1.08,0
CNN,2,TAR_1,cSigp06,0.06,-0.25,-0.03,-0.01,0.23,-0.19,1.08,69.14,0.38,0
CNN,2,TAR_2,cSigp06,-1.44,1.48,-0.02,-0.03,0.01,0.04,3.35,277.98,3.89,0.01
