Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,86.81,12.08,0.0,1.11,0.0,98.89,24.84,616.87,18.71,0.11
TBR_2,89.7,0.0,0.0,10.29,0.01,89.7,14.1,198.75,10.85,0.23
TBR_1,77.68,0.0,0.0,22.31,0.01,77.68,13.12,172.17,9.24,0.15
TIR,86.54,13.46,0.01,0.0,0.0,100.0,18.5,342.2,13.82,0.11
TAR_1,87.65,11.97,0.0,0.38,0.0,99.62,29.32,859.93,24.41,0.12
TAR_2,89.27,10.1,0.0,0.64,0.0,99.37,41.72,1740.68,36.43,0.12
