Range,A,B,C,D,E
ENTIRE,17482112,2123385,3822,241374,547
TBR_2,172704,0,0,12682,33
TBR_1,537841,0,0,219159,108
TIR,10173205,1766168,2889,0,0
TAR_1,4394401,293339,743,5641,384
TAR_2,2203961,63878,190,3892,22
