Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,87.89,11.58,0.03,0.49,0.0,99.47,20.81,432.87,14.44,0.1
TBR_2,97.18,0.0,0.0,2.8,0.02,97.18,11.32,128.03,6.58,0.14
TBR_1,89.15,0.0,0.0,10.84,0.02,89.15,13.44,180.77,8.65,0.14
TIR,84.15,15.82,0.04,0.0,0.0,99.97,19.57,382.8,13.4,0.11
TAR_1,92.47,7.36,0.03,0.13,0.02,99.83,22.89,523.77,16.35,0.08
TAR_2,96.94,2.85,0.02,0.19,0.0,99.79,24.84,617.15,18.55,0.06
