Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,88.05,10.72,0.02,1.21,0.0,98.77,20.1,404.07,14.37,0.1
TBR_2,93.18,0.0,0.0,6.8,0.02,93.18,14.08,198.25,11.04,0.23
TBR_1,71.15,0.0,0.0,28.84,0.01,71.15,15.93,253.64,11.87,0.19
TIR,85.15,14.83,0.02,0.0,0.0,99.98,18.44,340.07,13.06,0.11
TAR_1,93.61,6.25,0.02,0.12,0.01,99.86,21.54,464.04,15.46,0.07
TAR_2,97.03,2.79,0.01,0.17,0.0,99.82,26.14,683.47,20.12,0.07
