epoch,Clinical_Penalty,loss,root_mean_squared_error,val_Clinical_Penalty,val_loss,val_root_mean_squared_error
0,1.2590725421905518,1.7850457429885864,75.19367980957031,1.2205947637557983,1.3439359664916992,32.182796478271484
1,1.1549468040466309,1.2736259698867798,27.049213409423828,1.2137917280197144,1.3170902729034424,27.69365692138672
2,1.1390358209609985,1.2596431970596313,23.269512176513672,1.2137975692749023,1.3091312646865845,26.821453094482422
3,1.1360887289047241,1.2565969228744507,22.455955505371094,1.2177236080169678,1.3170599937438965,27.315387725830078
4,1.1355924606323242,1.2559125423431396,22.335796356201172,1.2153762578964233,1.3190568685531616,27.4057674407959
5,1.1353641748428345,1.2556194067001343,22.29005241394043,1.215197205543518,1.3155415058135986,27.21880340576172
6,1.135266900062561,1.255405068397522,22.26654815673828,1.2180399894714355,1.32683265209198,27.85843849182129
7,1.135157585144043,1.2552765607833862,22.247488021850586,1.214061975479126,1.3109822273254395,26.888248443603516
8,1.135140061378479,1.2551403045654297,22.23772430419922,1.2160799503326416,1.3246344327926636,27.65614891052246
9,1.1350650787353516,1.2550337314605713,22.22031021118164,1.215733528137207,1.3185646533966064,27.442121505737305
10,1.1350363492965698,1.2549505233764648,22.211332321166992,1.2120211124420166,1.317355990409851,27.15458869934082
11,1.1348780393600464,1.2549560070037842,22.21977996826172,1.2159799337387085,1.3210132122039795,27.436439514160156
12,1.1349583864212036,1.254887580871582,22.20756721496582,1.2126924991607666,1.3189877271652222,27.23809051513672
