Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,76.89,19.61,0.13,3.35,0.02,96.5,28.72,824.58,20.71,0.14
TBR_2,47.59,0.0,0.0,52.31,0.11,47.59,28.8,829.68,25.24,0.53
TBR_1,32.98,0.0,0.0,66.8,0.22,32.98,27.09,734.04,21.52,0.35
TIR,74.84,24.98,0.18,0.0,0.0,99.82,25.07,628.34,18.06,0.15
TAR_1,85.3,14.04,0.07,0.57,0.03,99.34,30.82,949.67,22.13,0.11
TAR_2,87.32,11.04,0.03,1.61,0.0,98.36,40.34,1627.39,31.0,0.1
