Range,A,B,C,D,E
ENTIRE,12207357,6429328,129164,564522,91035
TBR_2,131039,0,0,48085,3566
TBR_1,439755,0,0,280465,20242
TIR,6931179,4647095,117501,0,0
TAR_1,3303887,1142969,9787,70129,61740
TAR_2,1401497,639264,1876,165843,5487
