Range,A,B,C,D,E
ENTIRE,12681236,6230036,55258,393535,61341
TBR_2,159520,0,0,22321,849
TBR_1,576414,0,0,158739,5309
TIR,7299626,4343494,52655,0,0
TAR_1,3279438,1182870,2167,71133,52904
TAR_2,1366238,703672,436,141342,2279
