epoch,Clinical_Penalty,loss,root_mean_squared_error,val_Clinical_Penalty,val_loss,val_root_mean_squared_error
0,1.2465122938156128,5071.15869140625,45.51572036743164,1.234916090965271,4169.40869140625,42.32961654663086
1,1.2504899501800537,4154.435546875,42.39643096923828,1.2403085231781006,4038.251220703125,41.83605194091797
2,1.2493617534637451,4107.15185546875,42.230804443359375,1.242240309715271,4020.775146484375,41.786685943603516
3,1.2487785816192627,4082.667724609375,42.14579391479492,1.2276711463928223,4081.401611328125,42.063560485839844
4,1.2484073638916016,4065.441162109375,42.083438873291016,1.2388005256652832,3993.948486328125,41.665016174316406
5,1.2481547594070435,4051.4345703125,42.02851867675781,1.2450445890426636,3975.675048828125,41.668190002441406
6,1.2480822801589966,4039.651123046875,41.98633575439453,1.2515299320220947,4013.22705078125,41.83910369873047
7,1.2480137348175049,4032.186279296875,41.962005615234375,1.245521068572998,3996.686767578125,41.809085845947266
8,1.2478874921798706,4024.76318359375,41.935848236083984,1.2368444204330444,4000.6708984375,41.8277702331543
9,1.2478358745574951,4019.692138671875,41.920509338378906,1.2382100820541382,3965.905517578125,41.659393310546875
10,1.2477869987487793,4014.3681640625,41.90724563598633,1.2417678833007812,3973.86181640625,41.702491760253906
11,1.247802495956421,4009.96533203125,41.89238739013672,1.2517038583755493,3962.164794921875,41.676658630371094
12,1.247894525527954,4008.258544921875,41.891117095947266,1.2391881942749023,4018.630126953125,41.886837005615234
13,1.2479686737060547,4002.60205078125,41.87444305419922,1.2385286092758179,3970.71484375,41.65778350830078
14,1.2480369806289673,3998.594482421875,41.86384963989258,1.2325495481491089,3969.56787109375,41.59832000732422
15,1.2482446432113647,3995.364501953125,41.862396240234375,1.2372634410858154,3970.2490234375,41.59251022338867
16,1.2482951879501343,3993.634765625,41.86465072631836,1.2386999130249023,3949.24853515625,41.59059524536133
17,1.2483917474746704,3988.00830078125,41.847137451171875,1.2444660663604736,3963.825439453125,41.7150993347168
18,1.2485769987106323,3985.21923828125,41.840484619140625,1.2441153526306152,3955.723876953125,41.690696716308594
19,1.248618721961975,3981.879638671875,41.831539154052734,1.2481169700622559,3938.944580078125,41.62113571166992
20,1.2487201690673828,3979.467529296875,41.82185745239258,1.248663306236267,3955.44921875,41.631317138671875
21,1.2488079071044922,3977.349609375,41.81814956665039,1.2390975952148438,3948.42919921875,41.541404724121094
22,1.2488287687301636,3975.528076171875,41.812835693359375,1.2552305459976196,3991.103759765625,41.828487396240234
23,1.248867392539978,3974.952880859375,41.81254959106445,1.2380456924438477,3981.221435546875,41.85844802856445
24,1.2488131523132324,3973.186767578125,41.80583572387695,1.2483587265014648,3926.855224609375,41.51948547363281
25,1.2489359378814697,3970.700439453125,41.79821014404297,1.250885248184204,3944.409912109375,41.68341827392578
26,1.2489546537399292,3971.427734375,41.80511474609375,1.2406669855117798,3928.454833984375,41.52467727661133
27,1.248945951461792,3968.232421875,41.791046142578125,1.250090479850769,4003.522705078125,41.84660339355469
28,1.2489709854125977,3968.177490234375,41.791770935058594,1.2401728630065918,3923.5009765625,41.511436462402344
29,1.2489514350891113,3966.5908203125,41.78622817993164,1.2502039670944214,3927.01220703125,41.59798812866211
30,1.2489689588546753,3965.267822265625,41.78083419799805,1.247702717781067,3925.194580078125,41.56576919555664
31,1.2490615844726562,3964.804443359375,41.781707763671875,1.238478660583496,3960.716552734375,41.76895523071289
32,1.2490477561950684,3961.634521484375,41.76819610595703,1.2505970001220703,3937.826904296875,41.505306243896484
33,1.249072551727295,3962.27392578125,41.77061462402344,1.2468037605285645,3943.556640625,41.680572509765625
34,1.2490310668945312,3960.9921875,41.767337799072266,1.234084963798523,3933.223388671875,41.470359802246094
35,1.249171257019043,3961.031982421875,41.76942825317383,1.2448655366897583,3910.57666015625,41.395328521728516
36,1.2491176128387451,3960.20751953125,41.76611328125,1.230420708656311,3965.7509765625,41.65534210205078
37,1.2491326332092285,3959.23388671875,41.7636833190918,1.2524278163909912,3935.1357421875,41.611351013183594
38,1.249138355255127,3959.416259765625,41.76342010498047,1.2466768026351929,3915.722900390625,41.469520568847656
39,1.2491995096206665,3957.35791015625,41.757171630859375,1.2301963567733765,3953.18212890625,41.638668060302734
40,1.2491934299468994,3956.500732421875,41.75461959838867,1.2361830472946167,3930.156005859375,41.60441207885742
41,1.2491774559020996,3956.38232421875,41.753028869628906,1.2499831914901733,3921.4990234375,41.57467269897461
42,1.249151587486267,3954.83837890625,41.74894714355469,1.2539570331573486,3941.16259765625,41.6029052734375
43,1.2491787672042847,3954.433349609375,41.747093200683594,1.2515857219696045,3924.90869140625,41.535980224609375
44,1.249246597290039,3952.13623046875,41.7384147644043,1.2527326345443726,3923.65478515625,41.5742073059082
45,1.2492090463638306,3951.790771484375,41.737815856933594,1.2502888441085815,3911.9189453125,41.44868087768555
