Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,77.35,21.26,0.18,1.14,0.08,98.61,30.23,914.14,21.2,0.14
TBR_2,91.31,0.0,0.0,8.57,0.12,91.31,16.82,283.01,9.28,0.19
TBR_1,80.26,0.0,0.0,19.48,0.26,80.26,20.28,411.13,12.18,0.2
TIR,72.04,27.69,0.27,0.0,0.0,99.73,27.74,769.34,19.51,0.16
TAR_1,84.74,14.36,0.07,0.56,0.28,99.1,32.24,1039.25,22.65,0.11
TAR_2,87.83,10.55,0.03,1.59,0.01,98.38,40.45,1635.89,31.06,0.1
