Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,76.22,19.76,0.13,3.88,0.01,95.98,28.68,822.74,20.78,0.15
TBR_2,36.79,0.0,0.0,63.1,0.11,36.79,30.66,940.0,27.26,0.57
TBR_1,21.84,0.0,0.0,77.94,0.22,21.84,28.73,825.34,23.85,0.39
TIR,74.61,25.21,0.18,0.0,0.0,99.82,24.94,621.97,18.07,0.15
TAR_1,85.19,14.15,0.07,0.57,0.02,99.34,30.8,948.83,22.16,0.11
TAR_2,87.47,10.88,0.03,1.62,0.0,98.35,40.09,1607.09,30.66,0.1
