Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,78.07,20.42,0.14,1.3,0.07,98.49,30.13,908.11,21.17,0.14
TBR_2,90.0,0.0,0.0,9.89,0.11,90.0,20.21,408.6,15.0,0.32
TBR_1,77.14,0.0,0.0,22.62,0.24,77.14,20.57,422.94,12.26,0.2
TIR,73.95,25.85,0.21,0.0,0.0,99.8,26.61,707.85,18.65,0.15
TAR_1,84.46,14.62,0.06,0.61,0.25,99.08,32.46,1053.94,23.03,0.11
TAR_2,85.86,12.34,0.02,1.77,0.01,98.2,43.15,1861.92,34.0,0.11
