Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,59.98,33.6,0.56,5.75,0.11,93.58,42.04,1767.13,31.14,0.22
TBR_2,1.65,0.0,0.0,96.67,1.67,1.65,51.61,2663.2,45.61,0.95
TBR_1,2.78,0.0,0.0,94.8,2.42,2.78,48.81,2382.14,41.33,0.67
TIR,58.33,40.84,0.84,0.0,0.0,99.17,34.57,1194.89,26.08,0.22
TAR_1,74.45,23.78,0.2,1.56,0.0,98.23,41.62,1732.51,30.59,0.14
TAR_2,62.62,29.73,0.08,7.56,0.0,92.35,67.69,4582.27,54.41,0.18
