Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,86.95,12.41,0.01,0.63,0.0,99.36,23.83,567.74,17.92,0.11
TBR_2,95.82,0.0,0.0,4.16,0.01,95.82,10.2,104.13,6.61,0.14
TBR_1,87.85,0.0,0.0,12.14,0.01,87.85,11.03,121.65,7.22,0.12
TIR,84.75,15.24,0.01,0.0,0.0,99.99,19.41,376.86,14.52,0.11
TAR_1,89.19,10.46,0.0,0.33,0.01,99.65,27.53,757.96,22.21,0.11
TAR_2,92.82,6.72,0.0,0.46,0.0,99.54,36.94,1364.52,31.46,0.1
