Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,69.66,26.02,0.26,3.97,0.08,95.68,36.93,1363.7,26.38,0.17
TBR_2,48.98,0.0,0.0,50.55,0.47,48.98,32.83,1077.97,25.74,0.54
TBR_1,34.87,0.0,0.0,64.41,0.72,34.87,31.84,1013.6,23.63,0.38
TIR,70.24,29.36,0.39,0.0,0.01,99.6,28.97,839.21,20.66,0.17
TAR_1,74.0,24.12,0.11,1.6,0.17,98.12,41.65,1734.34,31.08,0.15
TAR_2,70.95,23.17,0.05,5.82,0.01,94.12,59.22,3506.91,47.79,0.16
