Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,62.86,33.1,0.67,2.91,0.47,95.96,44.31,1963.64,31.63,0.21
TBR_2,71.73,0.0,0.0,26.32,1.95,71.73,38.29,1466.35,26.23,0.55
TBR_1,59.39,0.0,0.0,37.88,2.73,59.39,38.65,1493.49,23.08,0.37
TIR,59.26,39.73,1.0,0.0,0.0,98.99,37.12,1378.02,27.05,0.22
TAR_1,72.0,24.91,0.21,1.53,1.35,96.91,47.02,2210.88,33.71,0.16
TAR_2,63.3,28.87,0.08,7.49,0.25,92.17,68.87,4743.13,54.77,0.18
