Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,76.56,20.5,0.23,2.68,0.03,97.06,29.18,851.39,20.91,0.15
TBR_2,63.81,0.0,0.0,36.05,0.13,63.81,25.82,666.63,20.36,0.43
TBR_1,45.42,0.0,0.0,54.29,0.29,45.42,26.21,686.97,19.22,0.31
TIR,73.17,26.53,0.3,0.0,0.0,99.7,26.7,712.65,19.08,0.16
TAR_1,84.2,15.03,0.18,0.54,0.06,99.23,31.93,1019.52,23.0,0.11
TAR_2,90.03,8.58,0.08,1.31,0.0,98.61,36.1,1303.14,26.82,0.09
