Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,62.61,33.29,0.79,2.85,0.46,95.9,44.23,1955.85,31.57,0.21
TBR_2,70.82,0.0,0.0,27.13,2.05,70.82,37.19,1382.96,21.89,0.46
TBR_1,57.86,0.0,0.0,39.23,2.91,57.86,38.92,1515.04,23.11,0.37
TIR,57.88,40.92,1.2,0.0,0.0,98.8,38.21,1459.89,27.92,0.23
TAR_1,73.18,23.92,0.23,1.4,1.27,97.1,46.32,2145.61,32.8,0.16
TAR_2,66.62,26.27,0.09,6.78,0.23,92.89,66.16,4377.35,51.9,0.17
