Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,67.95,28.43,0.92,2.48,0.22,96.38,38.85,1509.02,27.44,0.19
TBR_2,78.91,0.0,0.0,20.21,0.88,78.91,29.85,891.15,17.54,0.36
TBR_1,56.37,0.0,0.0,42.25,1.38,56.37,33.66,1132.89,21.5,0.35
TIR,63.45,35.34,1.19,0.0,0.02,98.79,35.47,1257.86,25.04,0.21
TAR_1,74.4,23.21,0.7,1.07,0.61,97.61,42.78,1830.26,30.89,0.15
TAR_2,81.3,14.55,0.33,3.77,0.05,95.85,48.44,2346.91,35.81,0.12
