Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,60.52,32.68,0.59,6.13,0.09,93.2,41.77,1745.04,30.81,0.22
TBR_2,0.19,0.0,0.0,98.4,1.41,0.19,55.24,3051.5,50.66,1.06
TBR_1,0.51,0.0,0.0,97.53,1.96,0.51,50.59,2559.49,44.9,0.73
TIR,60.6,38.55,0.86,0.0,0.0,99.15,33.14,1098.17,24.64,0.21
TAR_1,70.44,27.44,0.27,1.84,0.0,97.88,43.5,1891.95,32.83,0.16
TAR_2,64.57,26.14,0.11,9.18,0.0,90.71,66.91,4477.58,52.83,0.17
