Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,67.22,26.99,0.17,5.59,0.03,94.21,37.91,1437.05,27.58,0.18
TBR_2,12.49,0.0,0.0,87.15,0.36,12.49,39.91,1592.9,36.08,0.75
TBR_1,8.14,0.0,0.0,91.32,0.53,8.14,36.15,1306.99,31.19,0.51
TIR,71.56,28.2,0.25,0.0,0.0,99.76,26.78,717.07,19.5,0.16
TAR_1,70.38,27.73,0.07,1.81,0.02,98.11,43.2,1866.09,33.81,0.16
TAR_2,62.09,30.29,0.03,7.59,0.0,92.38,66.2,4381.92,55.44,0.18
