Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,61.99,32.59,1.28,3.86,0.28,94.58,44.22,1955.76,31.56,0.22
TBR_2,52.33,0.0,0.0,45.75,1.92,52.33,41.69,1737.72,27.98,0.58
TBR_1,37.88,0.0,0.0,59.35,2.77,37.88,42.78,1830.37,28.78,0.47
TIR,59.07,39.18,1.73,0.0,0.02,98.25,38.92,1514.6,27.71,0.23
TAR_1,67.96,29.04,0.84,1.6,0.56,97.0,48.47,2349.14,35.95,0.17
TAR_2,73.85,18.73,0.37,6.94,0.11,92.58,59.42,3530.92,44.05,0.15
