Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,69.28,27.44,0.64,2.41,0.22,96.72,38.44,1477.91,27.05,0.18
TBR_2,81.49,0.0,0.0,17.82,0.69,81.49,27.7,767.37,16.0,0.33
TBR_1,62.54,0.0,0.0,36.39,1.07,62.54,30.84,951.11,19.3,0.31
TIR,66.11,33.0,0.89,0.0,0.0,99.11,33.51,1122.73,23.45,0.19
TAR_1,73.82,23.87,0.37,1.22,0.72,97.69,43.22,1868.18,31.51,0.15
TAR_2,77.89,16.92,0.15,4.97,0.06,94.81,52.73,2780.2,40.28,0.13
