Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,82.05,17.57,0.01,0.35,0.01,99.62,27.56,759.7,21.36,0.14
TBR_2,98.45,0.0,0.0,1.53,0.01,98.45,10.43,108.75,8.39,0.17
TBR_1,95.18,0.0,0.0,4.81,0.01,95.18,13.35,178.21,10.96,0.18
TIR,78.01,21.98,0.02,0.0,0.0,99.99,22.26,495.71,17.23,0.14
TAR_1,87.41,12.19,0.0,0.37,0.03,99.6,29.74,884.39,24.72,0.12
TAR_2,86.54,12.85,0.0,0.61,0.0,99.39,46.22,2136.65,40.68,0.13
