Range,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
ENTIRE,65.68,29.47,0.7,4.02,0.13,95.15,37.4,1398.47,27.31,0.2
TBR_2,46.82,0.0,0.0,52.28,0.9,46.82,35.79,1280.72,27.53,0.57
TBR_1,23.21,0.0,0.0,75.36,1.43,23.21,38.56,1486.77,29.39,0.48
TIR,61.1,37.93,0.96,0.0,0.01,99.03,34.18,1167.99,25.09,0.21
TAR_1,77.43,20.88,0.43,1.03,0.23,98.31,39.06,1525.73,28.29,0.13
TAR_2,81.34,14.88,0.16,3.6,0.02,96.22,48.3,2332.45,36.32,0.12
